unified_id;month;zipcode;city;host_type;bedrooms;bathrooms;guests;revenue;openness;occupancy;nightly rate;lead time;length stay;Street Name;Latitude;Longitude;Hot Tub;Pool
AIR10000347;2019-1;92315;Big Bear Lake;2-5 Units;3;2;10;13948.75974;31;1;449.9599915;8;65;Cienega Road;34.24223;-116.9433;0;0
AIR10052559;2019-1;92315;Big Bear Lake;Professionals;3;2.5;8;9946.849976;31;0.580645161;552.6027764;10.57142857;2.571428571;Heavenly Valley Road;34.23948;-116.87991;1;0
AIR10178668;2019-1;92315;Big Bear Lake;Professionals;3;2.5;7;6027.410034;31;0.483870968;401.8273356;7.1;1.8;Round Drive;34.25095;-116.94139;0;0
AIR10204420;2019-1;92252;Joshua Tree;2-5 Units;3;2;12;6549.239929;31;0.451612903;467.8028521;38;2.428571429;NULL_STREET;34.23144892;-116.2821358;1;1
AIR10211502;2019-1;92315;Big Bear Lake;Professionals;3;3;9;8609.669983;31;0.64516129;430.4834991;43.11111111;2.333333333;San Pasqual Drive;34.22778;-116.85041;1;0
AIR10211700;2019-1;92315;Big Bear Lake;Single Owners;5;2;12;21621.57947;31;0.967741935;720.7193156;10.26315789;1.631578947;NULL_STREET;34.24516;-116.87618;0;0
AIR10344705;2019-1;92314;Big Bear City;2-5 Units;3;1;5;1504.789978;31;0.322580645;150.4789978;22;3.25;NULL_STREET;34.2675;-116.86089;0;0
AIR10424683;2019-1;92315;Big Bear Lake;Professionals;3;2;8;3399.689972;31;0.258064516;424.9612465;13.57142857;1.142857143;Starvation Flats Road;34.25341;-116.88025;0;1
AIR10471190;2019-1;92314;Big Bear City;2-5 Units;3;2;8;6049.34993;31;0.774193548;252.0562471;38.69230769;2;Spruce Lane;34.23844;-116.82383;1;0
AIR10551482;2019-1;92314;Big Bear City;2-5 Units;5;4;15+;9473.589996;31;0.64516129;473.6794998;171.75;2.5;La Crescenta Drive;34.2355;-116.8483;1;0
AIR10833910;2019-1;92284;Yucca Valley;Single Owners;3;1;6;1401.849976;31;0.419354839;107.8346135;20;4.25;Jemez Trail;34.21443;-116.45521;0;0
AIR1096822;2019-1;92284;Yucca Valley;Single Owners;3;3.5;8;8993.379761;31;1;290.1090245;132;10.66666667;Alta Avenue;34.15316752;-116.360674;0;0
AIR11098028;2019-1;92315;Big Bear Lake;Professionals;3;2;8;1671.839966;10;0.8;208.9799957;15.14285714;1.142857143;Starvation Flats Road;34.25264;-116.8808;1;1
AIR11098161;2019-1;92315;Big Bear Lake;Professionals;3;2;8;1671.839966;10;0.8;208.9799957;15.14285714;1.142857143;Starvation Flats Road;34.25264;-116.8808;1;1
AIR11128865;2019-1;92315;Big Bear Lake;Single Owners;3;1.5;7;5320.880005;31;0.903225806;190.0314287;73.90909091;2.545454545;Catalina Road;34.24588;-116.87996;0;0
AIR11209785;2019-1;92314;Big Bear City;Single Owners;3;2;8;8327.060089;31;0.774193548;346.960837;18.46153846;2;NULL_STREET;34.23943;-116.85551;1;0
AIR11375202;2019-1;92315;Big Bear Lake;Single Owners;4;2;9;4724.500061;31;0.322580645;472.4500061;43.4;2;Knoll Road;34.24977;-116.93706;0;0
AIR11458668;2019-1;92315;Big Bear Lake;Single Owners;3;2;8;4109.509949;31;0.419354839;316.1161499;24.66666667;2.5;Waynoka Lane;34.24263;-116.92486;0;0
AIR11529774;2019-1;92284;Yucca Valley;2-5 Units;4;3.5;10;3939.550018;31;0.483870968;262.6366679;49.16666667;3;Carmelita Way;34.08019;-116.37654;1;0
AIR11612245;2019-1;92315;Big Bear Lake;Single Owners;4;3;12;6491.360168;31;0.322580645;649.1360168;74.8;2.2;Forest Road;34.24176;-116.92728;1;0
AIR11623857;2019-1;92315;Big Bear Lake;Professionals;3;2;8;2954.68;31;0.387096774;246.2233334;31.44444444;1.444444444;Starvation Flats Road;34.25264;-116.8808;1;1
AIR11654882;2019-1;92314;Big Bear City;2-5 Units;3;2.5;8;6191.790039;31;0.451612903;442.2707171;42.125;1.875;Fenway Drive;34.2422;-116.8618;1;0
AIR11692683;2019-1;92314;Big Bear City;2-5 Units;5;3;10;6799.279968;31;0.35483871;618.1163608;64.4;2.2;Mullins Drive;34.27166;-116.85132;1;0
AIR11735648;2019-1;92315;Big Bear Lake;Professionals;3;2;8;8899.089783;31;0.35483871;809.0081621;39;2.833333333;Summit Boulevard;34.23979;-116.88697;0;0
AIR11785147;2019-1;92315;Big Bear Lake;Professionals;3;2;8;3689.640015;31;0.290322581;409.9600016;20.16666667;1.5;Starvation Flats Road;34.2521;-116.87999;1;1
AIR11799363;2019-1;92315;Big Bear Lake;2-5 Units;3;2;5;3999.380028;31;0.967741935;133.3126676;37;2;NULL_STREET;34.23996;-116.92826;0;0
AIR11911637;2019-1;92315;Big Bear Lake;Professionals;5;3;12;9214.989868;31;0.451612903;658.213562;24.75;1.875;Big Bear Boulevard;34.23685;-116.95214;1;0
AIR11921717;2019-1;92315;Big Bear Lake;2-5 Units;3;2.5;10;4340.399979;31;0.903225806;155.014285;39.5;1.55;Eureka Drive;34.24654;-116.89829;1;0
AIR11970806;2019-1;92315;Big Bear Lake;Professionals;4;3;10;5819.429962;31;0.419354839;447.6484586;67;2.833333333;Gibralter Road;34.24594;-116.92331;1;0
AIR119838;2019-1;92252;Joshua Tree;2-5 Units;3;3;10;0;31;0;;;;Mountain View Circle;34.12838;-116.31354;0;1
AIR12002926;2019-1;92284;Yucca Valley;Professionals;3;1;10;1174.899979;31;0.161290323;234.9799957;35;2.333333333;NULL_STREET;34.10443;-116.37149;0;0
AIR12028635;2019-1;92314;Big Bear City;Professionals;3;2;10;6733.190125;31;0.580645161;374.066118;19.18181818;2.090909091;Waldstrasse Way;34.24286;-116.86897;1;0
AIR12092863;2019-12;92315;Big Bear Lake;2-5 Units;3;3;12;489;2;0.5;489;7;1;Teakwood Drive;34.24833402;-116.8685337;0;0
AIR12134023;2019-1;92314;Big Bear City;Professionals;3;2;10;9437.030029;31;0.64516129;471.8515015;18.1;2.1;Klamath Road;34.23613;-116.84548;1;0
AIR12175604;2019-1;92315;Big Bear Lake;Professionals;4;4;11;8981.039978;31;0.580645161;498.9466654;19;2.111111111;Shasta Road;34.22912;-116.8547;1;0
AIR12246386;2019-1;92315;Big Bear Lake;Professionals;3;3;10;8199.109985;31;0.677419355;390.4338088;27.55555556;2.444444444;Silver Tip Drive;34.237736;-116.862297;1;0
AIR12271204;2019-1;92315;Big Bear Lake;Single Owners;3;2.5;8;6349.229919;31;0.612903226;334.1699958;40.08333333;1.583333333;Ponderosa Drive;34.24177;-116.88821;1;0
AIR12308076;2019-11;92315;Big Bear Lake;Professionals;3;2;8;0;10;0;;;;Starvation Flats Road;34.25183373;-116.8799348;1;1
