Id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
1004,47.0,blue-collar,married,unknown,no,1506.0,yes,no,unknown,5,may,92,1,-1,0,unknown,No
1005,33.0,unknown,single,unknown,no,1.0,no,no,unknown,5,may,198,1,-1,0,unknown,No
1006,35.0,management,married,tertiary,no,231.0,yes,no,unknown,5,may,139,1,-1,0,unknown,No
1007,28.0,management,single,tertiary,no,447.0,yes,yes,unknown,5,may,217,1,-1,0,unknown,No
1011,41.0,admin.,divorced,secondary,no,270.0,yes,no,unknown,5,may,222,1,-1,0,unknown,No
1012,29.0,admin.,single,secondary,no,390.0,yes,no,unknown,5,may,137,1,-1,0,unknown,No
1013,53.0,technician,married,secondary,no,6.0,yes,no,unknown,5,may,517,1,-1,0,unknown,No
1014,58.0,technician,married,unknown,no,71.0,yes,no,unknown,5,may,71,1,-1,0,unknown,No
1015,57.0,services,married,secondary,no,162.0,yes,no,unknown,5,may,174,1,-1,0,unknown,No
1016,51.0,retired,married,primary,no,229.0,yes,no,unknown,5,may,353,1,-1,0,unknown,No
1017,45.0,admin.,single,unknown,no,13.0,yes,no,unknown,5,may,98,1,-1,0,unknown,No
1018,57.0,blue-collar,married,primary,no,52.0,yes,no,unknown,5,may,38,1,-1,0,unknown,No
1019,60.0,retired,married,primary,no,60.0,yes,no,unknown,5,may,219,1,-1,0,unknown,No
1020,33.0,services,married,secondary,no,0.0,yes,no,unknown,5,may,54,1,-1,0,unknown,No
1021,28.0,blue-collar,married,secondary,no,723.0,yes,yes,unknown,5,may,262,1,-1,0,unknown,No
1022,56.0,management,married,tertiary,no,779.0,yes,no,unknown,5,may,164,1,-1,0,unknown,No
1023,32.0,blue-collar,single,primary,no,23.0,yes,yes,unknown,5,may,160,1,-1,0,unknown,No
1024,25.0,services,married,secondary,no,50.0,yes,no,unknown,5,may,342,1,-1,0,unknown,No
1025,40.0,retired,married,primary,no,0.0,yes,yes,unknown,5,may,181,1,-1,0,unknown,No
1026,44.0,admin.,married,secondary,no,-372.0,yes,no,unknown,5,may,172,1,-1,0,unknown,No
1027,39.0,management,single,tertiary,no,255.0,yes,no,unknown,5,may,296,1,-1,0,unknown,No
1028,52.0,entrepreneur,married,secondary,no,113.0,yes,yes,unknown,5,may,127,1,-1,0,unknown,No
1029,46.0,management,single,secondary,no,-246.0,yes,no,unknown,5,may,255,2,-1,0,unknown,No
1030,36.0,technician,single,secondary,no,265.0,yes,yes,unknown,5,may,348,1,-1,0,unknown,No
1031,57.0,technician,married,secondary,no,839.0,no,yes,unknown,5,may,225,1,-1,0,unknown,No
1032,49.0,management,married,tertiary,no,378.0,yes,no,unknown,5,may,230,1,-1,0,unknown,No
1033,60.0,admin.,married,secondary,no,39.0,yes,yes,unknown,5,may,208,1,-1,0,unknown,No
1034,59.0,blue-collar,married,secondary,no,0.0,yes,no,unknown,5,may,226,1,-1,0,unknown,No
1035,51.0,management,married,tertiary,no,10635.0,yes,no,unknown,5,may,336,1,-1,0,unknown,No
1036,57.0,technician,divorced,secondary,no,63.0,yes,no,unknown,5,may,242,1,-1,0,unknown,No
1037,25.0,blue-collar,married,secondary,no,-7.0,yes,no,unknown,5,may,365,1,-1,0,unknown,No
1038,53.0,technician,married,secondary,no,-3.0,no,no,unknown,5,may,1666,1,-1,0,unknown,No
1039,36.0,admin.,divorced,secondary,no,506.0,yes,no,unknown,5,may,577,1,-1,0,unknown,No
1040,37.0,admin.,single,secondary,no,0.0,yes,no,unknown,5,may,137,1,-1,0,unknown,No
1041,44.0,services,divorced,secondary,no,2586.0,yes,no,unknown,5,may,160,1,-1,0,unknown,No
1042,50.0,management,married,secondary,no,49.0,yes,no,unknown,5,may,180,2,-1,0,unknown,No
1043,60.0,blue-collar,married,unknown,no,104.0,yes,no,unknown,5,may,22,1,-1,0,unknown,No
1044,54.0,retired,married,secondary,no,529.0,yes,no,unknown,5,may,1492,1,-1,0,unknown,No
1045,58.0,retired,married,unknown,no,96.0,yes,no,unknown,5,may,616,1,-1,0,unknown,No
1046,36.0,admin.,single,primary,no,-171.0,yes,no,unknown,5,may,242,1,-1,0,unknown,No
1047,58.0,self-employed,married,tertiary,no,-364.0,yes,no,unknown,5,may,355,1,-1,0,unknown,No
1048,44.0,technician,married,secondary,no,0.0,yes,no,unknown,5,may,225,2,-1,0,unknown,No
1049,55.0,technician,divorced,secondary,no,0.0,no,no,unknown,5,may,160,1,-1,0,unknown,No
1050,29.0,management,single,tertiary,no,0.0,yes,no,unknown,5,may,363,1,-1,0,unknown,No
1051,54.0,blue-collar,married,secondary,no,1291.0,yes,no,unknown,5,may,266,1,-1,0,unknown,No
1052,48.0,management,divorced,tertiary,no,-244.0,yes,no,unknown,5,may,253,1,-1,0,unknown,No
1053,32.0,management,married,tertiary,no,0.0,yes,no,unknown,5,may,179,1,-1,0,unknown,No
1062,53.0,technician,divorced,secondary,no,989.0,yes,no,unknown,5,may,812,1,-1,0,unknown,No
1063,57.0,blue-collar,married,primary,no,249.0,yes,no,unknown,5,may,164,1,-1,0,unknown,No
1064,33.0,services,married,secondary,no,790.0,yes,no,unknown,5,may,391,1,-1,0,unknown,No
1065,49.0,blue-collar,married,unknown,no,154.0,yes,no,unknown,5,may,357,1,-1,0,unknown,No
1066,51.0,management,married,tertiary,no,6530.0,yes,no,unknown,5,may,91,1,-1,0,unknown,No
1067,60.0,retired,married,tertiary,no,100.0,no,no,unknown,5,may,528,1,-1,0,unknown,No
1068,59.0,management,divorced,tertiary,no,59.0,yes,no,unknown,5,may,273,1,-1,0,unknown,No
1069,55.0,technician,married,secondary,no,1205.0,yes,no,unknown,5,may,158,2,-1,0,unknown,No
1070,35.0,blue-collar,single,secondary,no,12223.0,yes,yes,unknown,5,may,177,1,-1,0,unknown,No
